Fund Code,ISIN,Fund Family,Fund Name,Asset Class,Investment Universe,"Currency Performances
"
ABEI,LU1113143496,AllianceBernstein,AB European Income,Fixed income,Europe,usd
ABHY,LU0102830865,AllianceBernstein,AB Global High Yield,Fixed income,Global,usd
ABIG,LU0430678424,AllianceBernstein,AB India Growth A,Equity,Single Country,usd
